action,owner,repo,sub_path,github_url,marketplace_url,usage_count,workflow_count,tag_versions,sha_pinned_versions,is_sha_pinned,is_mixed_pinning,example_workflows
salesforcecli/github-workflows/.github/workflows/unitTestsWindows.yml,salesforcecli,github-workflows,.github/workflows/unitTestsWindows.yml,https://github.com/salesforcecli/github-workflows,,5,5,main,0,False,False,salesforcecli/plugin-limits; salesforcecli/plugin-template-sf; salesforcecli/plugin-sobject
salesforcecli/github-workflows/.github/workflows/unitTestsLinux.yml,salesforcecli,github-workflows,.github/workflows/unitTestsLinux.yml,https://github.com/salesforcecli/github-workflows,,5,5,main,0,False,False,salesforcecli/plugin-limits; salesforcecli/plugin-template-sf; salesforcecli/plugin-sobject
salesforcecli/github-workflows/.github/workflows/lockFileCheck.yml,salesforcecli,github-workflows,.github/workflows/lockFileCheck.yml,https://github.com/salesforcecli/github-workflows,,5,5,main,0,False,False,salesforcecli/plugin-limits; salesforcecli/plugin-template-sf; salesforcecli/plugin-sobject
Sundsvallskommun/.github/.github/workflows/common-dependabot-reviewer.yml,Sundsvallskommun,.github,.github/workflows/common-dependabot-reviewer.yml,https://github.com/Sundsvallskommun/.github,,5,5,main,0,False,False,Sundsvallskommun/api-service-garbage; Sundsvallskommun/api-service-citizen-changes; Sundsvallskommun/api-service-alkt
discourse/.github/.github/workflows/discourse-theme.yml,discourse,.github,.github/workflows/discourse-theme.yml,https://github.com/discourse/.github,,5,5,v1,0,False,False,discourse/discourse-homepage-feature-component; discourse/discourse-review-ip-lookup; discourse/discourse-categories-tracking-toggle
cloudposse/.github/.github/workflows/shared-terraform-chatops.yml,cloudposse,.github,.github/workflows/shared-terraform-chatops.yml,https://github.com/cloudposse/.github,,5,5,main,0,False,False,cloudposse/terraform-aws-cloudfront-s3-cdn; cloudposse/terraform-aws-iam-user; cloudposse/terraform-aws-alb
salesforcecli/github-workflows/.github/workflows/nut.yml,salesforcecli,github-workflows,.github/workflows/nut.yml,https://github.com/salesforcecli/github-workflows,,5,5,main,0,False,False,salesforcecli/plugin-flow; salesforcecli/plugin-limits; salesforcecli/plugin-template-sf
ljharb/actions/.github/workflows/node.yml,ljharb,actions,.github/workflows/node.yml,https://github.com/ljharb/actions,,5,5,main,0,False,False,ljharb/find-value-locations; es-shims/Number.parseInt; es-shims/Map.prototype.getOrInsertComputed
turbot/steampipe-workflows/.github/workflows/assign-issue-to-project.yml,turbot,steampipe-workflows,.github/workflows/assign-issue-to-project.yml,https://github.com/turbot/steampipe-workflows,,4,4,main,0,False,False,turbot/steampipe-plugin-zoom; turbot/steampipe-mod-gcp-labels; turbot/steampipe-plugin-linode
Logius-standaarden/Automatisering/.github/workflows/check.yml,Logius-standaarden,Automatisering,.github/workflows/check.yml,https://github.com/Logius-standaarden/Automatisering,,4,4,main,0,False,False,Geonovum/uml-datatypen; Geonovum/3d-tiling; Geonovum/dso-cim-bhkv
actions/add-to-project,actions,add-to-project,,https://github.com/actions/add-to-project,https://github.com/marketplace/actions/add-to-project,4,4,v1.0.2,0,False,False,microsoft/aitour-azure-openai-assistants; microsoft/ignite25-LAB582-windows-365-deployment-lab-cloud-native-zero-trust-fully-ready; microsoft/ignite25-LAB587-windows-365-ai-lab-improved-windows-search-and-click-to-do-in-action
cloudposse-terraform-components/.github/.github/workflows/shared-terraform-chatops.yml,cloudposse-terraform-components,.github,.github/workflows/shared-terraform-chatops.yml,https://github.com/cloudposse-terraform-components/.github,,4,4,main,0,False,False,cloudposse-terraform-components/aws-eks-storage-class; cloudposse-terraform-components/aws-eks-actions-runner-controller; cloudposse-terraform-components/aws-sftp
polarityio/polarity-integration-development-checklist,polarityio,polarity-integration-development-checklist,,https://github.com/polarityio/polarity-integration-development-checklist,https://github.com/marketplace/actions/polarity-integration-development-checklist,4,4,main,0,False,False,polarityio/subnet-calculator; polarityio/discoverorg; polarityio/subnet-calculator
Logius-standaarden/Automatisering/.github/workflows/build.yml,Logius-standaarden,Automatisering,.github/workflows/build.yml,https://github.com/Logius-standaarden/Automatisering,,4,4,main; snapshot-in-repo,0,False,False,Geonovum/uml-datatypen; Geonovum/3d-tiling; Geonovum/dso-cim-bhkv
astral-sh/ruff-action,astral-sh,ruff-action,,https://github.com/astral-sh/ruff-action,https://github.com/marketplace/actions/ruff-action,8,4,v1,0,False,False,MIT-Emerging-Talent/ET6-MITx-Recitation-Group12; MIT-Emerging-Talent/ET6-MITx-Recitations_Group30; MIT-Emerging-Talent/ET6-MITx-Recitations_Group30
Azure/avm-terraform-governance/.github/workflows/managed-pr-check.yml,Azure,avm-terraform-governance,.github/workflows/managed-pr-check.yml,https://github.com/Azure/avm-terraform-governance,,4,4,main,0,False,False,Azure/terraform-azurerm-avm-ptn-alz-connectivity-hub-and-spoke-vnet; Azure/terraform-azurerm-avm-ptn-commercial-marketplace; Azure/terraform-azure-avm-utl-compute-windowsvirtualmachine-azapi-replicator
