gha_fingerprint,workflow_blob_url,source_git_repo,package_namespace,package_name,workflow_path,workflow_name,primary_language,stars_count,popularity_bucket,license,is_fork,num_jobs,total_steps,has_matrix_strategy,has_job_dependencies,uses_reusable_workflows,trigger_diversity_count,trigger_risk_level,has_workflow_dispatch_inputs,num_third_party_action_refs,num_uses_steps,num_run_steps,has_permissions_block,permission_scope,secrets_usage_count,has_conditional_expressions,workflow_purpose,has_self_hosted_runner,uses_container,structural_complexity_bucket,sha_pinning_ratio,uses_unverified_actions,expressions_in_run_blocks,taint_source_count,env_vars_with_expressions,security_surface_bucket,action_dependency_bucket
8cae839494be4baa22ffd5760524e0bc71887570f4cfae7501df2f5d6ddab539,https://github.com/Sundsvallskommun/api-service-citizen-changes/blob/4104c9815bb560f6fdf2c82ccd910d048ca19cf4/.github/workflows/dependabot-reviewer.yml,Sundsvallskommun/api-service-citizen-changes,sundsvallskommun,api-service-citizen-changes,.github/workflows/dependabot-reviewer.yml,Call Dependabot reviewer,Java,0,q1_low,MIT License,False,1,0,False,False,True,1,high,False,0,0,0,True,write_all,0,False,dependency_management,False,True,simple,,False,False,0,False,no_expressions,no_third_party
bd0c71d27647b0e5818a11810aa7be54ea27efbe3d0bba5b37fc127de0660917,https://github.com/ocicl/cl-cxx/blob/fdd0327f8b44678345416b39619bb088344d5378/.github/workflows/main.yml,ocicl/cl-cxx,ocicl,cl-cxx,.github/workflows/main.yml,,,1,q1_low,Other,False,1,1,False,False,False,2,low,False,1,1,0,True,empty_locked_down,4,False,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
88992feb0df4cbdc3fdaaa0d7e722950de42c5c4b5787bd92ae45a4e2ad46ea6,https://github.com/MicrosoftDocs/Managed-Desktop/blob/1521ed2da5372f5b404e4c8ed827cb6bd6c8debd/.github/workflows/AutoLabelAssign.yml,MicrosoftDocs/Managed-Desktop,microsoftdocs,managed-desktop,.github/workflows/AutoLabelAssign.yml,Assign and label PR,PowerShell,137,q3_high,Other,False,2,0,False,True,True,1,high,False,0,0,0,True,write_all,2,False,other,False,True,medium,,False,False,0,False,no_expressions,no_third_party
d1c58721daf2497cc6d9d22b0edecd51ad0ecf31dcce9f5543b7545f3d34dcc8,https://github.com/hashicorp/hcp-terraform-operator/blob/a82dbaa37a3b33d6135552661a62b5cce144687f/.github/workflows/dependabot-pr.yaml,hashicorp/hcp-terraform-operator,hashicorp,hcp-terraform-operator,.github/workflows/dependabot-pr.yaml,Dependabot PR,Go,134,q3_high,Mozilla Public License 2.0,False,4,0,False,False,True,1,high,False,0,0,0,False,not_set,0,True,dependency_management,False,True,complex,,False,False,0,False,no_expressions,no_third_party
293c23f69deadbcb2dab9c8cb5a674f50fc71280d3ace304985769024b5ce250,https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,fortinet-fortisoar/connector-netscaler-adc,fortinet-fortisoar,connector-netscaler-adc,.github/workflows/pytest_checks.yml,Pytest Checks,Python,0,q1_low,MIT License,False,1,4,False,False,False,1,medium,False,2,2,2,False,not_set,0,False,ci_test,False,True,medium,,False,False,0,False,no_expressions,unpinned_third_party
49bba2b08ac4a0d6bf2abf38e3764f8754cb1c98ac5f4dcc6da719b5f4a41708,https://github.com/polarityio/google-custom-search/blob/02951ff60e0c05fe2c051af37def66f6dc9574a1/.github/workflows/release-current-version.yml,polarityio/google-custom-search,polarityio,google-custom-search,.github/workflows/release-current-version.yml,Release Current Version,JavaScript,0,q1_low,MIT License,False,1,0,False,False,True,1,low,False,0,0,0,False,not_set,0,False,deploy_release,False,True,simple,,False,False,0,False,no_expressions,no_third_party
586044eddb3a6fa0ca157b36015241d918d132b1bde28cf638c15748af27a053,https://github.com/redhat-et/edge-pipelines-for-model-validation/blob/9f755712ccd20f114f407a65766d28df78009073/.github/workflows/test-all.yml,redhat-et/edge-pipelines-for-model-validation,redhat-et,edge-pipelines-for-model-validation,.github/workflows/test-all.yml,Test all Jetson Servers,Python,1,q1_low,Apache License 2.0,False,4,0,False,True,True,1,low,False,0,0,0,False,not_set,0,False,ci_test,False,True,complex,,False,False,0,False,no_expressions,no_third_party
50597078ea851ccd7dd0bbe8d4e6bede7761a5c5f1611e27476920444ff093da,https://github.com/github/docs/blob/6539475420c87a6ffb04f79c54df344cfc11caa2/.github/workflows/triage-unallowed-contributions.yml,github/docs,github,docs,.github/workflows/triage-unallowed-contributions.yml,Check unallowed file changes,TypeScript,17760,q4_top,Creative Commons Attribution 4.0 International,False,1,4,False,False,False,1,high,False,2,3,1,True,write_all,1,True,ci_test,False,True,medium,,False,False,0,False,no_expressions,unpinned_third_party
63301c22676ae4c29ef81cc054d6bc92504e163a24e170ea12ca7439f6146497,https://github.com/canonical/sdcore-router-k8s-operator/blob/57c56f95f5ec662511ce6b0d99984de887792741/.github/workflows/1_5_scheduled_runs.yaml,canonical/sdcore-router-k8s-operator,canonical,sdcore-router-k8s-operator,.github/workflows/1_5_scheduled_runs.yaml,Release 1.5 scheduled CI,Python,1,q1_low,Apache License 2.0,False,7,0,False,True,True,1,low,False,0,0,0,False,not_set,0,False,deploy_release,False,True,complex,,False,False,0,False,no_expressions,no_third_party
f0f12ef7d550075987b40170059e9d6efd3fd1a5d622fb3a620b551d216e0628,https://github.com/AdobeDocs/experience-manager-document-security.fr-FR/blob/9778661977999bc71040bd932eee950a031ade78/.github/workflows/assign-issue.yml,AdobeDocs/experience-manager-document-security.fr-FR,adobedocs,experience-manager-document-security.fr-fr,.github/workflows/assign-issue.yml,Issue assignment,HTML,0,q1_low,Other,False,1,1,False,False,False,1,high,False,1,1,0,False,not_set,1,False,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
